year,period,age_group,category,value
,,,,281236
,,,,216393
,,,,186118
,,,,196516
,,,,152408
,,,,224622
,,,,123702
,,,,181907
,,,,931164
,,,,1252939
,,,,947621
,,,,1659776
,,,,971087
,,,,1408841
,,,,910417
,,,,1250053
,,,,1212400
,,,,1469332
,,,,1133739
,,,,1856292
,,,,1123495
,,,,1633463
,,,,1034119
,,,,1431960
,,,,1338570
,,,,1035523
,,,,892848
,,,,828209
,,,,920768
,,,,1007303
,,,,795663
,,,,939722
,,,,1270769
,,,,1562284
,,,,1611664
,,,,1711912
,,,,1476368
,,,,1663172
,,,,1788518
,,,,1558257
,,,,2609339
,,,,2597807
,,,,2504512
,,,,2540121
,,,,2397136
,,,,2670475
,,,,2584181
,,,,2497979
,,,,1111006
,,,,852228
,,,,817182
,,,,664221
,,,,710338
,,,,781541
,,,,637006
,,,,707133
,,,,423633
,,,,664517
,,,,526326
,,,,502041
,,,,503097
,,,,510814
,,,,649706
,,,,551709
,,,,1534639
,,,,1516745
,,,,1343508
,,,,1166262
,,,,1213435
,,,,1292355
,,,,1286712
,,,,1258842
,,,,654139
,,,,589693
,,,,556660
,,,,438252
,,,,573222
,,,,449519
,,,,435145
,,,,405293
,,,,152522
,,,,303790
,,,,198062
,,,,170160
,,,,188729
,,,,160449
,,,,189770
,,,,179251
,,,,806661
,,,,893483
,,,,754722
,,,,608412
,,,,761951
,,,,609968
,,,,624915
,,,,584544
,,,,518758
,,,,470312
,,,,480197
,,,,317880
,,,,502226
,,,,323113
,,,,277823
,,,,281857
,,,,99728
,,,,197575
,,,,169724
,,,,122060
,,,,168040
,,,,110371
,,,,154707
,,,,110179
,,,,618486
,,,,667887
,,,,649921
,,,,439940
,,,,670266
,,,,433484
,,,,432530
,,,,392036
,,,,439957
,,,,398921
,,,,472952
,,,,298248
,,,,528134
,,,,239595
,,,,253894
,,,,239465
,,,,130641
,,,,153874
,,,,121297
,,,,96920
,,,,151937
,,,,62072
,,,,89545
,,,,82066
,,,,570598
,,,,552795
,,,,594249
,,,,395168
,,,,680071
,,,,301667
,,,,343439
,,,,321531
,,,,382735
,,,,365381
,,,,456096
,,,,251527
,,,,450671
,,,,233812
,,,,247099
,,,,194315
,,,,105693
,,,,133573
,,,,148804
,,,,104317
,,,,161972
,,,,47530
,,,,65292
,,,,81122
,,,,488428
,,,,498954
,,,,604900
,,,,355844
,,,,612643
,,,,281342
,,,,312391
,,,,275437
,,,,315484
,,,,231420
,,,,382136
,,,,219600
,,,,161560
,,,,201285
,,,,145524
,,,,187275
,,,,74734
,,,,53498
,,,,113215
,,,,104582
,,,,26109
,,,,42999
,,,,62565
,,,,60098
,,,,390218
,,,,284918
,,,,495351
,,,,324182
,,,,187669
,,,,244284
,,,,208089
,,,,247373
,,,,252439
,,,,170952
,,,,110611
,,,,190108
,,,,126469
,,,,143011
,,,,126036
,,,,148701
,,,,67204
,,,,30214
,,,,11529
,,,,64061
,,,,23366
,,,,26257
,,,,39904
,,,,33790
,,,,319643
,,,,201166
,,,,122140
,,,,254169
,,,,149835
,,,,169268
,,,,165940
,,,,182491
2021,,60+,,172463
2021,,60+,,354345
2021,,60+,,170487
2021,,60+,,325516
2021,,60+,,175172
2021,,60+,,185324
2021,,60+,,156440
2021,,60+,,211701
2021,,60+,,23133
2021,,60+,,64620
2021,,60+,,28624
2021,,60+,,160025
2021,,60+,,17602
2021,,60+,,33445
2021,,60+,,46106
2021,,60+,,61705
2021,,60+,,195596
2021,,60+,,418965
2021,,60+,,199111
2021,,60+,,485541
2021,,60+,,192774
2021,,60+,,218769
2021,,60+,,202546
2021,,60+,,273406
2021,,Total,,5466787
2021,,Total,,4685168
2021,,Total,,4525287
2021,,Total,,3730077
2021,,Total,,4300968
2021,,Total,,3789125
2021,,Total,,3198332
2021,,Total,,3497369
2021,,Total,,3279221
2021,,Total,,4416884
2021,,Total,,3876866
2021,,Total,,4695854
2021,,Total,,3688307
2021,,Total,,4065950
2021,,Total,,3996530
2021,,Total,,3968230
2021,,Total,,8746008
2021,,Total,,9102052
2021,,Total,,8402153
2021,,Total,,8425931
2021,,Total,,7989275
2021,,Total,,7855075
2021,,Total,,7194862
2021,,Total,,7465599
